"mztime"	"VK_180504_097"	"VK_180504_103"	"VK_180504_121"	"VK_180504_127"	"VK_180504_145"	"VK_180504_151"	"VK_180504_181"	"VK_180504_187"	"VK_180504_205"	"VK_180504_211"
"mztime"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"
"203.1428434/13.89103894"	"186253.5745"	"56897812"	"56897812"	"186423.5305"	"228680.5125"	"56897812"	"205853.1022"	"56897812"	"56897812"	"56897812"
"203.1428682/237.2906679"	"1041801.63"	"56897812"	"56897812"	"1203586.543"	"1029289.656"	"56897812"	"703774.8837"	"56897812"	"56897812"	"56897812"
"203.9300352/160.9752459"	"1502926.735"	"56897812"	"7561172.546"	"1381220.97"	"2766486.351"	"56897812"	"4299332.376"	"2398091.125"	"4995152.822"	"56897812"
"204.0864555/238.9931306"	"818326.3441"	"324167.5969"	"894269.238"	"1595876.716"	"863120.874"	"1438111.592"	"797596.2238"	"1174075.197"	"453644.1706"	"605392.1653"
"204.0864627/85.88941534"	"565378.0524"	"56897812"	"56897812"	"571440.423"	"300880.9427"	"16865.98067"	"1169322.528"	"3732184.742"	"840252.1636"	"235750.4012"
"204.0864815/13.80347186"	"385704.0895"	"482897.8277"	"1132394.78"	"348677.1518"	"270993.8592"	"252218.5045"	"366453.0347"	"258803.3769"	"315630.1687"	"353194.7131"
"204.1172101/63.27004758"	"40963058.36"	"820379.4374"	"990344.4192"	"17705894.68"	"28420852.84"	"946173.3292"	"21199096.68"	"15054289.05"	"10592087.59"	"16594587.81"
"204.1377678/26.65325229"	"544035.0496"	"265622.7604"	"170067.0183"	"138233.2711"	"687552.3589"	"245560.5581"	"370747.5903"	"56897812"	"183793.8583"	"169577.4263"
"204.1591856/10.48546662"	"205351.4573"	"158644.5059"	"203428.3351"	"202118.5727"	"175086.5129"	"170982.766"	"520293.5778"	"242152.9836"	"150727.5572"	"194533.5779"
"204.9732724/155.2336216"	"2327153.355"	"4910967.266"	"3307813.963"	"2357180.624"	"2327914.143"	"56897812"	"2100229.152"	"1726691.964"	"2259984.114"	"1629361.256"
"204.9944151/15.77448103"	"158745.985"	"115811.7696"	"56897812"	"105228.538"	"59947.77168"	"56897812"	"56897812"	"56897812"	"56897812"	"60641.07136"
"205.0168952/242.4547381"	"947972.3934"	"9043328.359"	"5649432.436"	"3803975.141"	"945499.0789"	"8837794.071"	"385891.9078"	"518415.4295"	"2867637.75"	"727873.1826"
"205.0599532/56.77903508"	"1834466.106"	"56897812"	"56897812"	"891224.7448"	"1301469.081"	"56897812"	"1255636.806"	"1779189.899"	"1079147.961"	"1383687.959"
"205.0792858/15.72093076"	"365743.9173"	"360211.6896"	"109333257.1"	"360305.591"	"330502.7818"	"56897812"	"214994.7943"	"280372.3666"	"268779.886"	"267110.242"
"205.0856811/111.9655698"	"1553465.599"	"517132.1293"	"932085.0067"	"1935759.225"	"1299487.616"	"514152.6707"	"1262123.099"	"1893294.187"	"1472271.518"	"835346.9716"
"205.0929224/288.9381515"	"1702625.863"	"814354.0416"	"2420894.814"	"3648120.815"	"1402190.494"	"2133990.104"	"4121916.076"	"3413159.07"	"3913048.082"	"3376180.511"
"205.1080936/31.69433759"	"8980052.263"	"3725218.607"	"3324947.847"	"56897812"	"17498418.96"	"3893467.318"	"14360630.36"	"7373980.574"	"56897812"	"1224747.246"
"205.1220894/127.3078905"	"2146296.384"	"4645926.835"	"3682159.711"	"4348935.143"	"3577097.249"	"4614426.991"	"4349207.654"	"4418840.928"	"4142230"	"3922371.209"
"205.1277837/8.585530592"	"56897812"	"56897812"	"56897812"	"122273.7202"	"56897812"	"140180.878"	"100995.9279"	"56897812"	"108188.5194"	"112860.4806"
"205.4708678/158.5624921"	"13824703.83"	"5741187.086"	"31736251.15"	"12790974.03"	"11397176.05"	"6652611.016"	"9631605.979"	"9107863.832"	"8753834.279"	"8851216.098"
"205.4708846/294.1405311"	"647237.0756"	"2098349.168"	"2436461.014"	"860271.6499"	"531779.8899"	"1764290.726"	"492878.7145"	"1297230.827"	"946711.0394"	"1085196.419"
"205.6323485/28.74317548"	"367234.3503"	"648316.8083"	"847559.994"	"833836.8924"	"521971.6735"	"842601.226"	"14198.62336"	"542390.4848"	"888152.1956"	"889663.6436"
"205.9362896/154.6590453"	"2557223.571"	"56897812"	"10438143.05"	"2436484.275"	"2122389.635"	"56897812"	"1957165.13"	"2121696.136"	"1846116.554"	"2140495.517"
"205.9685/163.3966255"	"4119463.312"	"3553225.112"	"6499160.609"	"3478840.667"	"3221868.485"	"646059.9661"	"2362169.471"	"2066590.931"	"2324473.73"	"1665378.504"
"206.001092/133.7627398"	"1768955.84"	"5488453.384"	"3646503.939"	"1539344.644"	"1954510.244"	"7221573.628"	"2545235.049"	"3260386.717"	"2647324.631"	"1859668.968"
"206.0275587/19.17300318"	"216960.4076"	"251812.0188"	"255455.4075"	"283869.1782"	"171669.2018"	"56897812"	"150541.0851"	"163228.1396"	"169013.1754"	"138691.6085"
"206.1106031/18.30670853"	"844999.9128"	"144223.548"	"171796.8141"	"106595.0186"	"1385929.864"	"56897812"	"1415451.858"	"123065.894"	"85125.67476"	"75645.06902"
"206.1173367/9.776371703"	"203605.3643"	"185994.6184"	"296353.1482"	"158600.7203"	"183811.9957"	"331552.9874"	"193414.4951"	"168702.6544"	"157448.2621"	"164936.6495"
"206.1214092/75.9787094"	"356543.4032"	"56897812"	"56897812"	"3565667.808"	"1321213.535"	"56897812"	"56897812"	"56897812"	"56897812"	"56897812"
"206.1254668/250.4347915"	"800022.1063"	"767977.3853"	"165085.078"	"790720.4172"	"642595.1204"	"997470.53"	"895023.3487"	"630529.7226"	"750478.4354"	"630356.1491"
"206.1537621/9.514692755"	"175580.7586"	"121568.066"	"56897812"	"112155.9213"	"56897812"	"189129.5638"	"56897812"	"56897812"	"55918.88181"	"78066.99727"
"206.4326227/157.7301266"	"12697639.57"	"8184915.958"	"12859378.55"	"14805786.64"	"15428876.23"	"56897812"	"15265688.02"	"15342037.56"	"15113111.27"	"14777282.76"
"206.4326409/294.1824103"	"1320624.273"	"3189119.28"	"2014094.754"	"868664.9699"	"1035202.964"	"2556208.916"	"839863.371"	"1116834.033"	"861755.1027"	"816139.2227"
"206.8857108/57.98673315"	"215259578.7"	"113376875.8"	"339100761.3"	"223298466.6"	"220618532.6"	"72528455.77"	"244959424.9"	"256691972.5"	"258831392.7"	"252700373.8"
"206.9407523/50.96519943"	"1497432.305"	"56897812"	"56897812"	"484686.1175"	"898082.0825"	"56897812"	"921333.6009"	"56897812"	"56897812"	"56897812"
"206.9455773/41.54123492"	"56897812"	"248122.6533"	"56897812"	"265947.214"	"673690.2101"	"225114.6965"	"95594.08072"	"56897812"	"56897812"	"335606.0918"
"207.0172408/242.8182077"	"8619088.542"	"16290437.51"	"15724465.66"	"7575690.024"	"6952149.556"	"18736149.12"	"5627117.201"	"5561823.341"	"5747665.257"	"5865020.302"
"207.0255294/137.6263324"	"56897812"	"56897812"	"56897812"	"56897812"	"951635.1004"	"56897812"	"2372313.447"	"2080401.833"	"2417879.194"	"1375129.1"
"207.0570922/15.38893775"	"56897812"	"309608.4933"	"741595.8829"	"56897812"	"82408.07721"	"146719.1642"	"184182.4588"	"56897812"	"105025.0336"	"56897812"
"207.1013464/253.3291057"	"969981.779"	"1117635.026"	"2098456.428"	"1504546.763"	"1207423.432"	"823180.9126"	"1467220.85"	"556701.9709"	"481949.5718"	"1303713.886"
"207.1741523/81.23916273"	"438955.568"	"56897812"	"56897812"	"1162430.731"	"100328.6839"	"604861.9171"	"867660.6008"	"22277.09348"	"326219.7231"	"517290.828"
"207.448962/141.2032158"	"56897812"	"56897812"	"56897812"	"4475066.844"	"2066147.952"	"56897812"	"2968876.876"	"3509905.245"	"2277853.032"	"1893751.939"
"207.4759832/156.3697741"	"230284041.5"	"195544030.9"	"301112124.7"	"240306891.6"	"232142992.3"	"56897812"	"234429946.8"	"218998406.4"	"218605259.9"	"234047955.1"
"207.9736821/289.1626541"	"1294561.008"	"2512506.835"	"1907998.257"	"1441163.218"	"1193517.76"	"2604813.533"	"1158125.568"	"1413763.568"	"1341441.304"	"1299166.351"
"207.9737108/155.2740092"	"22817607.3"	"19670887.12"	"43852059.78"	"22067383.55"	"20155634.57"	"56897812"	"17511639.44"	"15707042.12"	"15187838.86"	"15825116.83"
"207.9776581/291.2288862"	"890550.9455"	"1664860.978"	"3875300.854"	"1002760.624"	"1264005.376"	"1904839.535"	"897295.2861"	"1030575.181"	"1007823.26"	"1291325.494"
"207.9777003/154.2955715"	"13444403.34"	"881179.9665"	"23514244.21"	"14226618.52"	"14321008.13"	"56897812"	"14054777.02"	"12854425.06"	"13073714.75"	"13624413.17"
"208.0754412/283.1655922"	"729652.6466"	"56897812"	"56897812"	"948199.0773"	"554057.6193"	"56897812"	"766462.2667"	"492991.0529"	"941900.482"	"1016632.796"
"208.0754685/99.60249709"	"2149658.085"	"56897812"	"56897812"	"1762460.755"	"1268068.962"	"56897812"	"530125.6878"	"932294.3203"	"1381189.695"	"522139.479"
"208.0755352/9.773192989"	"1801202.24"	"554483.2833"	"56897812"	"1050265.761"	"1759704.977"	"56897812"	"547439.6774"	"1919113.04"	"500831.3856"	"917988.0045"
"208.4781015/153.8370662"	"3156921.991"	"56897812"	"10562674.05"	"4630817.374"	"3369270.297"	"56897812"	"3665464.799"	"3520255.824"	"3200872.408"	"3140805.86"
"208.6467836/83.82198803"	"1171443.729"	"56897812"	"547944.359"	"56897812"	"256889.8215"	"56897812"	"1839407.533"	"219757.7884"	"56897812"	"56897812"
"208.8816242/54.12346026"	"67936.28575"	"957871.607"	"937197.2789"	"101786.7512"	"113286.1306"	"643124.9394"	"275097.4596"	"271710.3109"	"371393.8942"	"304073.7464"
"208.8837933/56.75238356"	"42580903.42"	"52336925.63"	"77699860.53"	"37993877.01"	"27600673.59"	"50823439.84"	"40993227.39"	"56211272.98"	"56410792.5"	"55865681.79"
"209.1169301/252.6406057"	"1717316.643"	"1445639.483"	"56897812"	"2187106.963"	"1339420.92"	"1592740.428"	"1782943.266"	"1140555.876"	"2068688.689"	"1342791.4"
"209.1281622/246.4860059"	"56897812"	"555172.2674"	"56897812"	"1088451.526"	"1199794.662"	"1309913.046"	"930067.7717"	"56897812"	"1154845.968"	"676332.1685"
"209.2005935/39.36764857"	"56897812"	"938892.0465"	"529283.6663"	"56897812"	"459081.7742"	"815242.4169"	"56897812"	"56897812"	"56897812"	"302617.0077"
"209.4723731/291.2834968"	"760068.2634"	"1324723.279"	"56897812"	"895466.6934"	"593786.5485"	"1753960.868"	"604158.8633"	"1310393.322"	"790075.6358"	"454150.3386"
"209.4957774/158.19708"	"3204833.374"	"56897812"	"56897812"	"3239208.076"	"3188111.156"	"56897812"	"3337986.616"	"3039156.392"	"3444321.176"	"3185072.314"
"209.8804338/54.65007475"	"1452143.534"	"56897812"	"56897812"	"1198358.454"	"1503728.667"	"56897812"	"2584546.365"	"2405611.896"	"1002453.658"	"1269613.114"
"209.8869093/51.30139331"	"1026090.262"	"565432.0348"	"1747551.668"	"596478.7543"	"868625.8412"	"5225868.617"	"1310118.445"	"430976.3542"	"631843.0506"	"683588.0411"
"209.8941178/56.23743607"	"473525.7398"	"56897812"	"56897812"	"706068.3633"	"837496.2499"	"56897812"	"56897812"	"1080697.905"	"724010.8051"	"611519.2775"
"209.9786217/158.980497"	"1328821.026"	"56897812"	"6565676.178"	"2118741.352"	"1925119.122"	"56897812"	"2015333.469"	"1675346.468"	"1729422.461"	"1058047.768"
"210.0410247/108.9490704"	"617407.0899"	"994362.0514"	"1033262.67"	"56897812"	"457599.4664"	"756513.5598"	"661687.1258"	"953125.7613"	"417168.9079"	"269263.9397"
"210.075887/18.19210913"	"101504.7662"	"56897812"	"56897812"	"56897812"	"113312.8432"	"56897812"	"279462.6368"	"380856.22"	"162508.8422"	"163556.8078"
"210.0788007/60.74523308"	"409764.0424"	"56897812"	"56897812"	"56897812"	"1057679.382"	"56897812"	"266207.38"	"504173.4626"	"323543.8403"	"323992.8792"
"210.0870209/12.27671555"	"425188.2523"	"281992.6645"	"406228.3329"	"326651.3906"	"366233.9261"	"56897812"	"381053.517"	"271088.592"	"247900.8356"	"316534.8215"
"210.0910628/262.2436224"	"1248845.56"	"1563616.192"	"1026156.375"	"1769631.214"	"1254283.117"	"1233624.628"	"1224575.803"	"1986008.986"	"2039269.073"	"1683448.923"
"210.0911772/90.50816672"	"1198768.506"	"35768.22817"	"1342437.895"	"1935249.565"	"853611.3667"	"56897812"	"380452.8533"	"999527.505"	"967478.8285"	"1225223.108"
"210.0970416/81.77172746"	"1425932.797"	"732250.0625"	"1099057.05"	"13282.67054"	"400733.9087"	"567939.4849"	"673943.6686"	"236361.3698"	"129061.6514"	"92717.06269"
"210.1065766/64.21736523"	"741375.6081"	"424432.1465"	"56897812"	"897439.6153"	"816475.7969"	"434203.0525"	"869170.8342"	"1077179.617"	"636723.0285"	"632287.2996"
"210.1598612/8.73423436"	"76436.01383"	"56897812"	"56897812"	"107185.6191"	"46934.85292"	"578473.5145"	"139741.9641"	"56897812"	"96140.96185"	"123604.6966"
"210.1961798/229.1886224"	"501233.272"	"327324.7773"	"325818.0234"	"547813.532"	"758244.4212"	"582094.2943"	"1185205.947"	"1100691.213"	"906443.6955"	"128017.6271"
"210.9952143/144.3010521"	"10598330.88"	"56897812"	"91329468.82"	"8748250.008"	"11175344.32"	"56897812"	"18971519.8"	"19789823.2"	"21024028.97"	"16871561.2"
"210.9991253/169.6022225"	"3690279.757"	"56897812"	"56897812"	"2588681.818"	"2690317.546"	"56897812"	"1655852.038"	"3702006.926"	"2314367.86"	"4049554.444"
"210.9991962/293.5068112"	"1084536.422"	"56897812"	"56897812"	"557210.909"	"764962.3124"	"56897812"	"1218690.268"	"1350491.255"	"1421767.284"	"758418.1771"
"211.0673853/14.5659709"	"151920.3299"	"359278.8073"	"258264.7906"	"288247.4883"	"199237.4369"	"308877.1347"	"253010.4388"	"159113.027"	"269008.6491"	"208751.1964"
"211.0767707/60.77144341"	"2687876.238"	"2399284.323"	"2328913.554"	"1580693.694"	"2271306.63"	"1997572.85"	"2449618.092"	"3537242.441"	"2475303.195"	"2512000.394"
"211.0963132/248.7101733"	"540304.7368"	"1077591.413"	"678778.4247"	"882531.6176"	"1073379.388"	"618823.6816"	"1016900.643"	"1094691.465"	"1175218.422"	"648073.3185"
"211.098945/7.426450162"	"116457.1161"	"79025.16348"	"123845.6395"	"101103.5191"	"103329.6191"	"88492.40386"	"88622.08405"	"94119.42098"	"79976.77053"	"99917.49443"
"211.0990202/255.534966"	"337922.0022"	"10923.7733"	"443101.3479"	"290491.2713"	"122214.7447"	"56897812"	"475389.0664"	"553634.9457"	"554429.9408"	"855683.8376"
"211.1074451/123.1371356"	"15082631.02"	"10304101.01"	"14779073.58"	"15103754.17"	"9259597.496"	"10308043.63"	"12548929.41"	"5158658.688"	"8401283.547"	"4830790.111"
"211.1326538/26.92461805"	"1543419.444"	"2019884.789"	"1880424.411"	"1216428.715"	"2013666.453"	"1725704.154"	"1924134.543"	"2066722.994"	"2056794.679"	"615476.911"
"211.1437846/105.3794107"	"926509.5973"	"1536732.029"	"2104622.907"	"995200.9087"	"1209274.733"	"1902221.942"	"2654309.228"	"1290845.083"	"1967336.388"	"1549800.104"
"211.1689952/98.920963"	"723748.7763"	"337148.879"	"1438795.524"	"624576.4747"	"15420.69031"	"15763.57933"	"523921.2521"	"351353.9363"	"185993.0398"	"513907.778"
"211.199645/13.17335787"	"56897812"	"56897812"	"240250.6853"	"216000.7353"	"156321.293"	"238181.7809"	"264925.012"	"404342.5564"	"89998.03549"	"56897812"
"211.2055276/20.98907849"	"279164.5194"	"178915.4349"	"367013.6223"	"259484.9592"	"177964.4037"	"255327.7131"	"185042.7226"	"276781.0548"	"206464.7597"	"310906.5837"
"211.945998/26.5151226"	"192439.9566"	"529536.821"	"343041.2546"	"165754.4308"	"156456.1266"	"220546.8071"	"158067.831"	"193262.6908"	"237919.5544"	"165351.7246"
"211.946081/73.31812513"	"287672.6263"	"56897812"	"56897812"	"143063.0801"	"56897812"	"2000232.321"	"56897812"	"56897812"	"396965.2034"	"544647.3815"
"211.9584688/146.9708226"	"3130265.856"	"56897812"	"9149654.717"	"56897812"	"2773390.099"	"56897812"	"56897812"	"56897812"	"56897812"	"56897812"
"211.9817845/17.54261765"	"56897812"	"104503.6797"	"130758.4262"	"89557.17304"	"56897812"	"73540.76544"	"56897812"	"56897812"	"56897812"	"56897812"
"211.9818009/282.4262637"	"56897812"	"2347089.761"	"2008917.752"	"500984.2563"	"56897812"	"1860816.292"	"56897812"	"56897812"	"56897812"	"56897812"
"211.9939926/162.5684553"	"4244206.979"	"9206393.74"	"16228334.53"	"3735735.984"	"2584307.754"	"10464498.08"	"3791573.898"	"3864456.778"	"4117973.277"	"3607388.469"
"212.0112955/75.52393002"	"226561.4726"	"56897812"	"360759.8739"	"640231.1512"	"353530.2512"	"18745.69305"	"640510.788"	"134721.1945"	"229532.192"	"1092024.685"
"212.068084/127.597536"	"56897812"	"7043082.802"	"6340316.877"	"1116209.053"	"713224.2073"	"4099117.703"	"2710077.329"	"2922464.448"	"56897812"	"2137687.422"
"212.1108416/13.26483281"	"548456.2326"	"402332.3417"	"541133.983"	"315272.716"	"484010.9127"	"570757.2374"	"292181.5961"	"529393.0972"	"380506.6738"	"334913.915"
"212.1108748/95.99736807"	"1361963.972"	"426723.4121"	"901911.0726"	"2051564.736"	"2614201.348"	"455697.6579"	"462096.6412"	"758231.6701"	"2843167.965"	"1556552.833"
"212.1490145/25.53519752"	"6431299.839"	"2113199.153"	"5708826.725"	"6468037.351"	"2760948.932"	"3376593.692"	"6066450.761"	"4131859.326"	"7041648.214"	"3758164.944"
"212.2119683/12.77410932"	"56897812"	"56897812"	"295104.1583"	"213024.5796"	"196000.2099"	"297897.1151"	"249368.9892"	"534498.8903"	"56897812"	"56897812"
"212.7938509/71.65363225"	"56897812"	"402931.5623"	"56897812"	"56897812"	"56897812"	"384961.2715"	"56897812"	"546446.719"	"636131.2384"	"483109.5389"
"212.851539/60.45668237"	"17213620.15"	"400509488.4"	"352879412.2"	"82376011.04"	"91433014.5"	"422211066.5"	"105356079.2"	"188646148.8"	"194784316.7"	"182061305.1"
"212.9383946/43.13218371"	"281242.0903"	"56897812"	"56897812"	"1597023.127"	"375665.359"	"56897812"	"311831.6599"	"321543.928"	"56897812"	"56897812"
"212.9647876/5.237096281"	"122861.3809"	"139744.668"	"134619.0867"	"115948.6922"	"47645.01824"	"56897812"	"1403953.349"	"56897812"	"109475.6397"	"152435.8409"
"213.0007547/117.5697591"	"1787598.858"	"56897812"	"11895859.48"	"1789123.021"	"3226890.007"	"56897812"	"5599552.205"	"56897812"	"3877546.814"	"1393938.542"
"213.0148671/76.95525147"	"2867049.708"	"1415179.049"	"56897812"	"2592781.818"	"3498505.829"	"56897812"	"4706779.188"	"3514529.341"	"3095244.474"	"3647091.204"
"213.0438879/72.54331007"	"580391.6809"	"56897812"	"56897812"	"537495.2122"	"1139427.487"	"56897812"	"1438765.761"	"2194471.165"	"1753865.725"	"1277745.091"
"213.0651075/120.7188535"	"56897812"	"56897812"	"5303261.131"	"1491333.456"	"728423.3186"	"56897812"	"2468584.44"	"3682760.393"	"56897812"	"1263431.467"
"213.111933/18.31944276"	"681316.7121"	"948911.3339"	"1019946.029"	"508583.0696"	"466308.0255"	"790506.7097"	"972645.3056"	"623377.745"	"778666.976"	"453420.7178"
"213.1231433/12.65514566"	"426713.3561"	"435129.5744"	"559283.7315"	"402021.7227"	"225230.5546"	"397862.0508"	"349183.6125"	"339072.9311"	"299744.4946"	"336730.7253"
"213.152303/33.96219652"	"1052384.734"	"315703.6004"	"282718.13"	"785623.5827"	"1181779.463"	"56897812"	"1327287.584"	"56897812"	"1158208.927"	"56897812"
"213.1959481/14.14704794"	"56897812"	"56897812"	"56897812"	"56897812"	"1613394.252"	"256545.485"	"215354.6541"	"371927.096"	"56897812"	"56897812"
"213.9416083/14.28390221"	"62488.6063"	"82487.27168"	"73616.21642"	"91418.5615"	"56897812"	"61383.78696"	"62543.18655"	"53286.84451"	"63884.65968"	"56897812"
"213.978492/289.5712699"	"4635495.255"	"3936518.093"	"4666014.352"	"4978475.63"	"3880065.507"	"4190366.263"	"3964654.087"	"4941312.227"	"5422452.188"	"5347799.695"
"213.9873328/98.78456364"	"2964260.656"	"4674801.031"	"2322848.869"	"3476148.313"	"2366523.815"	"4082645.786"	"2211625.305"	"2637910.63"	"4055179.68"	"2605585.167"
"214.1071309/9.961892487"	"56897812"	"56897812"	"56897812"	"167469.3023"	"56897812"	"56897812"	"160006.4933"	"157862.2339"	"122712.792"	"161735.6017"
"214.1434594/10.49393583"	"723287.6825"	"11728495.26"	"5809156.294"	"392145.4771"	"389387.9808"	"56897812"	"379388.9336"	"421419.0658"	"352995.3792"	"370188.6408"
"214.1435535/234.2414313"	"665076.57"	"56897812"	"56897812"	"1025952.945"	"874374.5502"	"56897812"	"980793.085"	"1172846.195"	"838706.9723"	"1169991.944"
"214.1629205/11.26857141"	"56897812"	"163287.3697"	"56897812"	"196780.2618"	"212360.1572"	"56897812"	"198494.2987"	"163329.9918"	"237225.9076"	"173375.8541"
"214.5525855/247.4910388"	"116917442.3"	"25911916.88"	"61954939.82"	"56897812"	"232732989"	"24797126.54"	"164800838.2"	"6450882.27"	"484901.0157"	"56897812"
"214.9414876/147.3480879"	"1763663.967"	"56897812"	"162515.2083"	"2243048.445"	"2592559.383"	"56897812"	"56897812"	"1804391.708"	"56897812"	"1150080.271"
"214.9635439/157.3326857"	"56897812"	"1518636.292"	"7801558.131"	"1403516.578"	"56897812"	"56897812"	"56897812"	"56897812"	"56897812"	"56897812"
"214.9737468/293.7992792"	"3846898.726"	"12297283.21"	"6305511.867"	"6006601.793"	"3436422.813"	"10801775.26"	"3078755.219"	"3061527.989"	"2946535.516"	"4825459.127"
"215.0230499/11.17313878"	"349287.5675"	"56897812"	"56897812"	"516847.1253"	"554056.9094"	"56897812"	"574156.5946"	"650866.284"	"717571.0998"	"645311.2887"
"215.023208/239.4969554"	"1473645.9"	"56897812"	"56897812"	"1407085.958"	"1230266.616"	"56897812"	"1368657.644"	"1590233.965"	"1200960.332"	"1796400.244"
"215.0543457/246.6156888"	"14614460.72"	"56897812"	"7293116.049"	"56897812"	"26378961.12"	"3281457.392"	"12127680.46"	"2527623.048"	"56897812"	"56897812"
"215.1037649/10.04854734"	"144871.6159"	"193344.1834"	"56897812"	"210585.9859"	"140279.0378"	"56897812"	"375535.7533"	"208649.1633"	"221252.6552"	"158331.2527"
"215.1274761/132.1894438"	"12479736.02"	"18556758.54"	"25669915.53"	"13097304.28"	"7715632.78"	"17450232.9"	"15015486.22"	"15840649.33"	"23637376.69"	"13606837.55"
"215.1274841/287.3304078"	"56897812"	"31583054.47"	"36102404.15"	"56071235.52"	"49535336.65"	"2353906.486"	"42183808.22"	"38480921.76"	"56897812"	"39643793.08"
"215.1638383/250.5984953"	"455126.7282"	"646836.9728"	"557596.6729"	"339269.1608"	"888658.5955"	"593397.0417"	"954511.9294"	"1064972.015"	"888161.8797"	"766955.2231"
"215.4378096/155.6758085"	"35639584.63"	"25030674.19"	"26152975.24"	"37730055.31"	"38661973.85"	"22948151.58"	"39577949.98"	"38999699.01"	"38301498.08"	"39548428.27"
"215.5504806/245.8745103"	"5473961.075"	"1611744.504"	"3855699.516"	"56897812"	"2420092.612"	"2845809.405"	"3675838.791"	"1293804.104"	"56897812"	"56897812"
"215.6542648/89.23645276"	"1456719.136"	"56897812"	"746017.1459"	"56897812"	"920297.1906"	"56897812"	"743406.5246"	"506074.9381"	"56897812"	"56897812"
"216.0096658/56.02642459"	"2389856.603"	"56897812"	"56897812"	"1718575.531"	"2095310.218"	"56897812"	"1785544.863"	"1692497.707"	"2576148.915"	"1916246.119"
"216.1308081/273.6278699"	"1737930.053"	"2490761.299"	"1916307.952"	"2991271.03"	"3585158.232"	"3476921.669"	"3103445.871"	"2552625.841"	"3653901.836"	"1794081.521"
"216.130877/11.84147478"	"1689995.181"	"1384548.089"	"1218548.413"	"1064263.546"	"1344661.281"	"1408027.763"	"647150.8798"	"1322039.786"	"1223031.07"	"892708.8238"
"216.4540821/147.5967694"	"2701162.243"	"189947.2301"	"47799.92743"	"3925872.775"	"4215422.673"	"56897812"	"4572464.045"	"5693272.381"	"4041019.808"	"3375618.929"
"216.8478147/82.06741884"	"56897812"	"19617774.09"	"3760330.126"	"56897812"	"56897812"	"3571862.443"	"56897812"	"2053405.346"	"3315605.565"	"3284794.253"
"216.9787521/293.4571964"	"3257583.05"	"4473295.646"	"3475057.365"	"2944902.613"	"2304692.71"	"3311159.226"	"2571068.86"	"2310014.609"	"3126132.691"	"2465243.442"
"216.9787756/154.8973577"	"53385197.48"	"56897812"	"73124649.88"	"52256021.77"	"45429473.22"	"56897812"	"41452349.83"	"37957521.27"	"38819077.07"	"37899075.94"
"217.104326/50.19890445"	"9996595.62"	"7884216.213"	"22368681.32"	"13050791.76"	"6821101.558"	"11161958.9"	"11306502.28"	"9947508.604"	"15213912.31"	"7790479.24"
"217.1043627/273.0921184"	"2104722.902"	"1173494.739"	"1652957.416"	"3335118.928"	"1871601.239"	"1213711.412"	"2828285.354"	"2758742.133"	"2230440.598"	"3542567.525"
"217.1194444/7.718835351"	"56897812"	"170598.6413"	"56897812"	"214699.794"	"206985.3689"	"219513.8706"	"276488.3782"	"274166.8273"	"293912.6197"	"313058.3056"
"217.15437/34.44627656"	"7275622.071"	"56897812"	"1615894.23"	"56897812"	"6427763.806"	"56897812"	"7159360.31"	"4658238.644"	"54475.91877"	"56897812"
"217.1584483/100.8041963"	"1634695.163"	"504221.7371"	"1727555.185"	"2044510.716"	"1067356.532"	"503003.9947"	"1155620.165"	"2167331.47"	"1095062.077"	"946622.1034"
"217.2160062/26.29159101"	"13144266.03"	"1342212.592"	"1650995.984"	"5314807.695"	"3313285.756"	"1587963.403"	"2802796.331"	"12463216.49"	"8803475.192"	"6925455.104"
"217.4436785/158.0564727"	"15459770.15"	"7286572.098"	"50743339.85"	"15894698.58"	"14703696.61"	"5880017.542"	"11812269.33"	"10823530.58"	"11004224.68"	"13654667.59"
"217.476476/296.7751469"	"527544.8716"	"56897812"	"4127243.3"	"825218.5272"	"1198067.787"	"56897812"	"419534.8342"	"56897812"	"56897812"	"56897812"
"217.4765373/159.7955777"	"6623976.385"	"56897812"	"9794094.344"	"5718796.013"	"4304581.031"	"56897812"	"4630362.57"	"56897812"	"56897812"	"56897812"
"217.9456938/152.0418508"	"1684840.531"	"56897812"	"6120311.356"	"56897812"	"1901756.455"	"56897812"	"56897812"	"56897812"	"56897812"	"56897812"
"218.021069/61.14564947"	"1386180.786"	"3162635.821"	"4426072.012"	"1854021.532"	"1645026.482"	"3739982.651"	"1956202.166"	"1600350.723"	"2076258.799"	"1916762.968"
"218.0664994/8.890912732"	"163322.3713"	"56897812"	"56897812"	"115776.639"	"134980.3425"	"164942.4189"	"101726.6412"	"56897812"	"56897812"	"56897812"
"218.0669248/105.803979"	"587840.3006"	"56897812"	"56897812"	"11918.05378"	"614192.8935"	"56897812"	"579732.5786"	"56897812"	"56897812"	"56897812"
"218.081982/45.13069199"	"1590531.256"	"1805678.818"	"1650520.068"	"1199100.671"	"1377875.237"	"1970374.393"	"1393274.361"	"1607193.222"	"1434776.958"	"1355154.227"
"218.1019608/9.844257914"	"92869.10132"	"301560.1491"	"56897812"	"108044.6959"	"163451.8534"	"376785.5566"	"56897812"	"56897812"	"56897812"	"56897812"
