"mztime"	"VK_180504_097"	"VK_180504_103"	"VK_180504_121"	"VK_180504_127"	"VK_180504_145"	"VK_180504_151"	"VK_180504_181"	"VK_180504_187"	"VK_180504_205"	"VK_180504_211"
"mztime"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"
"89.12178101/103.7244157"	"56897812"	"56897812"	"56897812"	"56897812"	"454386.4385"	"56897812"	"564213.7229"	"880455.8485"	"276960.7486"	"790312.8308"
"89.22708821/62.44774375"	"517006.6661"	"56897812"	"56897812"	"329650.847"	"297898.8442"	"56897812"	"392600.9141"	"414188.1564"	"389502.7925"	"526375.5498"
"89.48251141/290.6418835"	"1807854.933"	"1704078.694"	"2027773.657"	"1612846.392"	"1747956.277"	"38963.24081"	"1363538.248"	"1791950.178"	"1448652.118"	"2112363.556"
"89.48252632/168.4021983"	"6417926.097"	"56897812"	"6560860.63"	"5553398.984"	"7166302.395"	"56897812"	"8081133.892"	"6859728.408"	"7112635.673"	"7039097.212"
"89.52979936/107.9270964"	"423022.3407"	"1274025.967"	"1034648.073"	"56897812"	"454104.7466"	"1144230.122"	"717464.9733"	"1229757.442"	"1029932.93"	"405659.9627"
"89.96360682/18.91143711"	"56897812"	"234015.3728"	"140747.908"	"373318.8948"	"56897812"	"114407.2451"	"56897812"	"56897812"	"659981.8218"	"56897812"
"90.03711437/108.1866757"	"2226522.771"	"2291923.618"	"2380582.491"	"2736214.559"	"2329344.329"	"2335502.714"	"3256798.095"	"4049589.047"	"3859173.686"	"3216196.214"
"90.05043885/202.2828783"	"538983.0321"	"56897812"	"56897812"	"536295.947"	"758102.9834"	"56897812"	"962569.1715"	"915419.9471"	"921710.3118"	"815196.2413"
"90.06302036/14.13449034"	"242344.9869"	"693965.5918"	"172832.1543"	"100280.5575"	"316222.574"	"75060.73374"	"113851.6469"	"109899.7496"	"125323.135"	"58141.33483"
"90.11060092/83.2516119"	"628357.7117"	"566076.7202"	"1411682.344"	"56897812"	"56897812"	"552553.5646"	"180912.0423"	"56897812"	"56897812"	"56897812"
"90.11063033/13.90207211"	"38775.57177"	"35972.18503"	"28732.10262"	"45580.07711"	"24536.77875"	"30933.05612"	"44014.06582"	"33016.30603"	"3031693.319"	"27763.85619"
"90.89504815/49.09769893"	"56897812"	"56897812"	"56897812"	"663322.7235"	"56897812"	"56897812"	"492255.8739"	"789135.2178"	"654691.3928"	"744711.1606"
"90.99264683/13.04949453"	"158773.4895"	"322904.5913"	"104531.7305"	"152478.9678"	"88587.12154"	"327624.2445"	"121794.0576"	"219209.6778"	"233634.2836"	"166959.7803"
"91.03963989/54.437157"	"1824542.223"	"56897812"	"1212897.249"	"1166376.504"	"534780.1555"	"56897812"	"607322.1249"	"56897812"	"854451.4066"	"565085.3296"
"91.52790467/286.321316"	"1591510.311"	"1215267.005"	"2104630.121"	"1618799.9"	"1572190.848"	"1322537.589"	"1947552.404"	"1893921.304"	"1890607.524"	"1630435.205"
"91.52913173/279.4056651"	"1176099.352"	"1195958.812"	"1784595.713"	"2278361.846"	"1921048.789"	"56897812"	"1320077.505"	"1854011.114"	"1690757.199"	"1943996.117"
"92.02141226/285.3501329"	"635914.0293"	"56897812"	"919229.4477"	"1117198.274"	"1273222.11"	"56897812"	"763063.0088"	"944592.0641"	"674455.7298"	"380377.8058"
"92.02384205/286.3525832"	"1251136.174"	"56897812"	"1370083.502"	"1659144.137"	"1220611.674"	"56897812"	"913200.322"	"889913.2163"	"1405397.621"	"1349018.064"
"92.02544898/142.2010469"	"3783955.839"	"56897812"	"56897812"	"3589149.612"	"2915300.459"	"56897812"	"2778104.215"	"2960356.912"	"2742997.705"	"2804440.764"
"92.02545566/283.2890479"	"600908.0782"	"56897812"	"56897812"	"935146.3448"	"999917.6386"	"56897812"	"276564.7568"	"695487.4708"	"695305.6691"	"162003.8197"
"92.03682888/85.88993398"	"363768.9237"	"56897812"	"56897812"	"1286221.198"	"107614.7458"	"56897812"	"991283.098"	"1529710.196"	"785479.1797"	"265649.3564"
"93.03866437/273.8001013"	"4018643.223"	"56897812"	"14916597.35"	"2894124.855"	"3490308.029"	"56897812"	"2802637.079"	"3582114.513"	"4346284.466"	"3296211.958"
"93.05457172/28.07653283"	"56897812"	"56897812"	"56897812"	"48931.54932"	"216473.7161"	"56897812"	"289195.1119"	"56897812"	"85182.74452"	"65814.56778"
"93.19008855/154.6553907"	"1747530.417"	"56897812"	"56897812"	"2050007.843"	"1529651.18"	"56897812"	"2527092.858"	"1626627.722"	"1959097.438"	"2268602.076"
"93.19010152/289.8177893"	"385411.2392"	"56897812"	"56897812"	"460837.5642"	"177694.322"	"56897812"	"8008.522886"	"184251.8095"	"331029.0494"	"86780.74222"
