mz,time,DW_140904_013.cdf,DW_140904_019.cdf,DW_140904_025.cdf,DW_140904_031.cdf,DW_140904_037.cdf,DW_140904_043.cdf,DW_140904_049.cdf,DW_140904_055.cdf,DW_140904_061.cdf,DW_140904_067.cdf,DW_140904_073.cdf,DW_140904_079.cdf,DW_140904_085.cdf,DW_140904_091.cdf,DW_140904_097.cdf,DW_140904_103.cdf,DW_140904_109.cdf,DW_140904_115.cdf,DW_140904_121.cdf,DW_140904_127.cdf,DW_140904_133.cdf,DW_140904_139.cdf,DW_140904_145.cdf,DW_140904_151.cdf,DW_140904_157.cdf,DW_140904_163.cdf,DW_140904_169.cdf,DW_140904_175.cdf,DW_140904_181.cdf,DW_140904_187.cdf,DW_140904_193.cdf,DW_140904_199.cdf,DW_140904_205.cdf,DW_140904_211.cdf
,,control,control,control,PD,PD,control,PD,PD,PD,control,PD,control,PD,PD,control,control,PD,PD,control,PD,PD,PD,control,PD,PD,PD,control,control,PD,control,PD,PD,PD,PD
100.9320804,366.8210591,4203562.5,2214063,4464218,4452136,3114561,4281281,382273.5,382273.5,382273.5,382273.5,2769566,2638383,382273.5,4674561,382273.5,382273.5,6055851,4236620.333,4731112,5092364,2939558,764547,5519431,382273.5,382273.5,382273.5,3381754,4390548,4130682,4870260,5304416.5,1050866,382273.5,382273.5
100.9569635,252.4232477,10714793,4532635,2103517,6776073,6966636,5894705,5045868.333,8395141,6175842,8753294,946143,4565391,1892286,6630628,946143,946143,8002440,946143,946143,946143,6729868,946143,7346310,946143,3607923,946143,6798080,946143,946143,946143,946143,946143,946143,946143
100.9889248,146.5562386,3162895.667,1587388,1906552,1733876.5,1954790,1440181,5313147.333,1918675,1471834.5,1246832,3429530.5,3084590,644972,1655315,321742.5,321742.5,321742.5,2838270,897287,1802960,643485,4883341,5258415.667,2680494,6349053.5,1762393,8005884.667,2831925.333,3657046,3206700.333,2340238.667,2567278.333,3265100.333,2686252
101.0350119,38.99864628,427101.6667,660197.3333,613923.5,537647,846465.5,599024,566858,460572.5,690442.3333,566695.6667,499737,555244.3333,210913.6667,433447.5,493847,534928.5,424379,421827.3333,479775.5,565828.5,626237,644832,497682.6667,781575,548009.6667,618449,477058,947794,620932,426732.3333,499982.3333,603700,523943.3333,556396
101.0670205,40.50350561,3524255,3258423.667,3328844,2470036,3026674.667,2613681.667,2406350,2009295.333,2106434.333,2008653,2068750.333,1811280.667,1639430,1515898.5,1826082,1743650.667,1846678.333,1730785.333,1656324.333,1749827.333,1586269.333,1765674.667,2292759,1453290,1670343.667,1372647.667,1917856.667,1499256.667,1849179.667,1786258.333,1929933.667,2472226,1811367.667,1675175.333
101.0713918,151.46128,2549580.5,11260572,6174218.333,13535741,5553934.5,9289489,5099161,7336168.333,9223588.333,10715481.33,11633883.5,12727243,9030770,9959942.333,10527362,11056128.67,11470486,11135469.67,10746977,10883048.67,10190919.5,2549580.5,2549580.5,2549580.5,2549580.5,2549580.5,2549580.5,10960358.5,12911591.5,7084420,7304514.5,8841096,9742433,10158120.33
101.0714216,40.19268465,11587057.33,9666503,6392430.333,9792298,7814959.667,9718812.667,8398027.333,5887932.333,6886997,8282984.667,7303788,5956791.333,6193145,7260276.667,7108301,6392032,7766446.667,7328969.667,7010079,7390825.667,7705132,5726110,4879335.5,9230144.5,4812868.5,8146990,5010877,7227426.333,8588134.667,7530228,6790869.333,7251794.333,8332532.333,7796310.667
101.0795309,173.4866524,6947490,2914079.5,4709065,3321077.667,2310681.5,3180455,559981.75,559981.75,559981.75,2477104,2417220,4863447,21076472,2008547.5,1827578,1504946,1646709.333,1703306,1464920,559981.75,7476080,1768446.5,559981.75,559981.75,2355811,4224959,3488263.333,2835338.5,559981.75,2693469.667,1119963.5,3723887.5,1578061,559981.75
101.0795333,74.72783619,9483101.667,2550625.667,29872,13033.5,2220037.667,993635.6667,2267667.333,1362613.5,3666430.667,27614,2389355.333,13033.5,24385813,3451506,2063950,13033.5,27669,3558759,1765747.667,3978866.333,9318417,46409,13033.5,26067,13033.5,3055504,13033.5,2236185,2034143,13033.5,2262930,4146056,3241674.333,3380475
101.5092,255.2663551,1881515,607225,4615421,1951345.5,5138928,3212280,607225,607225,607225,607225,2818299.667,607225,2381116,3615039,1214450,607225,4745221,4162814.5,4718561,3073193,4547159,607225,607225,607225,3010799,607225,607225,4246779,3351206,4250716,607225,4394551.667,3998754,607225
