"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"91.03963989","C00546","M+H2O+H[1+]","0.000663423230008675"
"91.03963989","C00711","M-CO2+H[1+]","0.000663423230008675"
"91.03963989","C00737","M+2H[2+]","0.000663423230008675"
"91.03963989","C00738","M+2H[2+]","0.000663423230008675"
"91.03963989","C00764","M+2H[2+]","0.000663423230008675"
"91.03963989","C00795","M+2H[2+]","0.000663423230008675"
"91.03963989","C00936","M+2H[2+]","0.000663423230008675"
"91.03963989","C00962","M+2H[2+]","0.000663423230008675"
"91.03963989","C00984","M+2H[2+]","0.000663423230008675"
"91.03963989","C01088","M-C3H4O2+H[1+]","0.000663423230022886"
"256.811781","C01382","M(S34)+H[1+]","0.000195466769980612"
"256.811781","C01382","M(Cl37)+H[1+]","0.00159546676997024"
"90.99264683","C00132","M+NaCl[1+]","0.000570363229996929"
"181.1334205","C00745","M+H2O+H[1+]","0.000155966770023497"
"143.0701852","C00114","M+K[1+]","9.12667699992653e-05"
"143.0701852","C00727","M+H2O+H[1+]","9.1266770027687e-05"
"223.0743819","C00542","M+H[1+]","0.000294566770008942"
"223.0743819","C00799","M+H[1+]","0.000994566770003757"
"223.0743819","C00669","M-CO+H[1+]","0.000194566770005622"
"223.0743819","C00858","M-HCOOH+H[1+]","0.00109456677000708"
"89.10722387","C00134","M+H[1+]","5.2596769990032e-05"
"89.10722387","C00077","M-CO2+H[1+]","0.000152596769993352"
"89.10722387","C00515","M-CO2+H[1+]","0.000152596769993352"
"89.10722387","C00990","M-CO+H[1+]","5.2596769990032e-05"
"159.9820165","C00097","M+K[1+]","0.000459966770023357"
"159.9820165","C00736","M+K[1+]","0.000459966770023357"
"159.9820165","C00793","M+K[1+]","0.000459966770023357"
"197.1170647","C01223","M-H2O+H[1+]","0.00118823322998196"
"348.0694822","C00020","M+H[1+]","0.00089426677004667"
"348.0694822","C00362","M+H[1+]","0.00089426677004667"
"348.0694822","C00946","M+H[1+]","0.00089426677004667"
"348.0694822","C01367","M+H[1+]","0.00089426677004667"
"348.0694822","C00270","M+K[1+]","0.000705733229949601"
"348.0694822","C00575","M+H2O+H[1+]","0.00089426677004667"
"331.2582445","C01091","M-HCOOK+H[1+]","0.00323196677004489"
"116.0361147","C00242","M-H4O2+H[1+]","0.000638233230006335"
"279.0638214","C00961","M-HCOOH+H[1+]","0.0014550667700064"
"190.071074","C00624","M+H[1+]","9.75332299901766e-05"
"190.071074","C00436","M+NaCl[1+]","0.000702466769979537"
"190.071074","C00579","M-H2O+H[1+]","0.000802466769982857"
"196.0966866","C00486","M(C13)+3H[3+]","0.000510133229994381"
"192.9983373","C00603","M+NaCl[1+]","0.00033916677000434"
"463.9687274","C01155","M(C13)+H[1+]","0.001750933229971"
"463.9687274","C01156","M(C13)+H[1+]","0.001750933229971"
"168.0653799","C00250","M+H[1+]","9.65667699972528e-05"
"168.0653799","C00650","M+H2O+H[1+]","0.000196566770000572"
"168.0653799","C00822","M-CO+H[1+]","9.65667699972528e-05"
"104.023613","C00543","M+NaCl[1+]","6.34667700012415e-05"
"104.023613","C00797","M+NaCl[1+]","6.34667700012415e-05"
"229.0487416","C00251","M(S34)+H[1+]","0.00203486677000342"
"229.0487416","C00254","M(S34)+H[1+]","0.00203486677000342"
"229.0487416","C00885","M(S34)+H[1+]","0.00203486677000342"
"229.0487416","C01107","M+H[1+]","0.0015651332300024"
"278.0623522","C00268","M+K[1+]","0.00222426676998566"
"278.0623522","C00352","M+H2O+H[1+]","0.00122426677000931"
"278.0623522","C01283","M+H2O+H[1+]","0.00122426677000931"
"200.0914516","C00082","M+H2O+H[1+]","0.000324866770029075"
"200.0914516","C00826","M-CO+H[1+]","0.000224866769997334"
"88.0214656","C00642","M+H+Na[2+]","0.000460866769998347"
"88.0214656","C00755","M+H+Na[2+]","0.000460866769998347"
"113.0595529","C00408","M-NH3+H[1+]","0.000223566770003458"
"113.0595529","C01066","M+H[1+]","0.000123566770000139"
"113.0595529","C00146","M+H2O+H[1+]","0.000223566769989247"
"113.0595529","C00233","M-H2O+H[1+]","0.000123566769985928"
"113.0595529","C00418","M-H4O2+H[1+]","0.000123566770000139"
"113.0595529","C00522","M-H4O2+H[1+]","0.000123566770000139"
"113.0595529","C00588","M-C3H4O2+H[1+]","0.000523566769999206"
"113.0595529","C00671","M-H2O+H[1+]","0.000123566769985928"
"113.0595529","C00791","M[1+]","0.000652900000005729"
"113.0595529","C00902","M-H2O+H[1+]","0.000123566769985928"
"113.0595529","C01012","M-H2O+H[1+]","0.000123566769985928"
"170.0446421","C00248","M-H4O2+H[1+]","0.000934366770025008"
"170.0446421","C00388","M+NaCl[1+]","0.000834366769993267"
"170.0446421","C01215","M-H2O+H[1+]","0.000134366769998451"
"308.0031261","C01269","M-NH3+H[1+]","0.00225036677005619"
"308.0031261","C00627","M+NaCl[1+]","0.00295036677005101"
"308.0031261","C01143","M[1+]","0.00307390000000396"
"136.9399374","C00009","M+K[1+]","0.000260933229981219"
"502.9902009","C00075","M+H2O+H[1+]","0.00382443322996551"
"105.0911503","C00418","M-CO2+H[1+]","7.38332300045386e-05"
"105.0911503","C00522","M-CO2+H[1+]","7.38332300045386e-05"
"105.0911503","C01390","M+H2O+H[1+]","7.38332300045386e-05"
"186.9627779","C00975","M+K[1+]","0.000798566770015441"
"184.0966702","C00788","M+H[1+]","0.000106266769989816"
"184.0966702","C00079","M+H2O+H[1+]","0.000206266770021557"
"184.0966702","C00371","M-H4O2+H[1+]","0.00140626677000455"
"184.0966702","C00826","M-CO2+H[1+]","0.000206266769993135"
"184.0966702","C00864","M-H4O2+H[1+]","0.000106266770018237"
"295.1642857","C00951","M+Na[1+]","0.00259076676996983"
"120.966004","C00009","M+Na[1+]","0.000172466769996049"
"120.966004","C01353","M+NaCl[1+]","0.000272466769999369"
"140.0704676","C00250","M-CO+H[1+]","8.866770002669e-06"
"140.0704676","C00847","M-CO2+H[1+]","0.000208866770009308"
"159.0867026","C00308","M-H2O+H[1+]","0.000873866770007226"
"198.0872002","C00475","M-HCOOH+H[1+]","0.000176266769983613"
"107.1106803","C00114","M(S34)+H[1+]","0.00010383322999985"
"247.0373535","C01099","M(S34)+H[1+]","0.000522966770006406"
"247.0373535","C01099","M(Cl37)+H[1+]","0.00192296676999604"
"247.0373535","C01131","M(S34)+H[1+]","0.000522966770006406"
"247.0373535","C01131","M(Cl37)+H[1+]","0.00192296676999604"
"247.0373535","C01419","M+HCOONa[1+]","0.00147703323000314"
"277.104251","C01425","M+H[1+]","0.00117453322997108"
"113.0707983","C01109","M-HCOOH+H[1+]","0.000178166769970289"
"113.0707983","C01404","M+H+Na[2+]","0.0010218332300127"
"180.0653554","C00355","M-H2O+H[1+]","0.000121066770020661"
"180.0653554","C01249","M-CO2+H[1+]","0.000221066770023981"
